Parcel PIN,Unit Type,GIS Loud ID,Permit Year Issued,Planning Subarea,Project Subdivision,Town,Election District,Housing Units,POINT_X_SP,POINT_Y_SP
024456697000,SFA,240769,8/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793667.23,7042971.405
024456896000,SFA,240771,8/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793685.51,7042963.3
024457095000,SFA,240780,8/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793709.74,7042952.557
024457593000,SFA,240772,6/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793752.71,7042933.508
024457792000,SFA,240767,6/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793776.93,7042922.771
024457991000,SFA,240776,6/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793795.22,7042914.665
024458190000,SFA,240778,6/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793813.51,7042906.568
024458389000,SFA,240787,6/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793837.74,7042895.833
024458779000,SFA,240708,3/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793870.19,7042791.318
024458788000,SFA,240782,5/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793872.48,7042880.426
024458986000,SFA,240774,5/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793896.7,7042869.684
024459186000,SFA,240790,5/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793914.98,7042861.575
024459385000,SFA,240785,5/1/16,STRLNG,HALL ROAD PROPERTY (HALLCREST),,BRDRUN,1,11793939.37,7042850.816
028351613000,SFD,246844,1/1/16,POTOMC,BROAD RUN FARMS ADDITION,,ALGONK,1,11787185.02,7066113.34
028461401000,SFD,249256,5/1/16,POTOMC,BROAD RUN FARMS,,ALGONK,1,11788134.98,7066721.481
030485411000,MFA,232226,6/1/16,STRLNG,DTC PARTNERS,,BRDRUN,28,11790652.62,7058996.467
030485411000,MFA,232228,6/1/16,STRLNG,DTC PARTNERS,,BRDRUN,28,11790780.75,7058945.475
030490468000,MFA,232236,2/1/16,STRLNG,DTC PARTNERS,,BRDRUN,28,11791037.01,7059515.493
030490468000,MFA,232238,2/1/16,STRLNG,DTC PARTNERS,,BRDRUN,28,11791057.79,7059641.115
031108248000,SFD,122956,1/1/16,STRLNG,,,STRLNG,1,11792789.75,7052247.302
038167916000,SFA,250225,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782794.3,7072165.128
038168114000,SFA,250221,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782811.79,7072144.557
038168212000,SFA,250219,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782824.75,7072129.32
038168311000,SFA,250289,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782837.7,7072114.083
038168509000,SFA,250287,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782855.19,7072093.512
038169696000,SFA,250273,5/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782966,7071963.183
038169877000,SFA,250230,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782981.04,7071779.893
038169894000,SFA,250271,5/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782983.49,7071942.613
038170079000,SFA,250234,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783000.42,7071794.139
038170180000,SFA,250305,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783016.55,7071805.988
038170190000,SFA,250263,5/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783016.52,7071903.758
038170381000,SFA,250309,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783032.73,7071817.883
038170583000,SFA,250313,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783052.12,7071832.13
038170784000,SFA,250315,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783073.46,7071848.554
038171396000,SFA,250275,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783136.69,7071963.12
038171594000,SFA,250269,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783154.98,7071941.597
038171792000,SFA,250265,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783170.53,7071923.313
038171890000,SFA,250261,9/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783188.94,7071901.997
038172478000,SFA,250232,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783241.67,7071788.79
038172579000,SFA,250236,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783258.58,7071799.474
038172781000,SFA,250307,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783275.48,7071810.158
038172982000,SFA,250311,8/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783294.72,7071822.312
038179992000,SFA,250267,5/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782999.03,7071924.328
039469576000,SFA,250302,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11782958.27,7071763.163
039470466000,SFA,250191,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783043.74,7071664.453
039470667000,SFA,250193,7/1/16,ASHBRN,OVERLOOK AT UNIVERSITY CENTER,,ALGONK,1,11783066.68,7071678.208
